동,위도,경도,인구,유동
누상동,37.580258218722214,126.96245149677777,1246,91869
누하동,37.57916746677777,126.96853513044445,3967,60414
능동,37.54974480638096,127.08264966999998,4228,15125
다동,37.56815082119999,126.98147131920003,4680,52465
답십리동,37.57304349554839,127.05684481229032,4684,16138
당산동,37.53760133176667,126.90196468799996,1034,14168
당산동1가,37.520695264249994,126.89971100175002,4046,74897
당산동2가,37.52200825983332,126.89366232450003,1389,10589
당산동3가,37.52576023011111,126.89793719099998,2512,51495
당산동4가,37.5277642801,126.90087060969998,4412,51817
당산동5가,37.531697404,126.9021949395,2405,22662
당산동6가,37.535268429999995,126.90271924314285,3609,78392
당인동,37.5442986385,126.91983338741669,3051,22479
당주동,37.571451427875004,126.97414726987499,2780,17042
대림동,37.49853567462856,126.89959993057143,2295,76248
대방동,37.50614926578124,126.93004245234377,4388,41896
대신동,37.56489299350001,126.94456643404543,4600,34755
대조동,37.61139560947058,126.92488202470588,1157,40236
대치동,37.496136356547595,127.0712090785238,3934,10831
대현동,37.560771477875,126.94585978966667,3810,58967
대흥동,37.54918966341934,126.94283727496772,3822,11517
도곡동,37.487263923133334,127.04479493820001,4702,90345
도렴동,37.572673017,126.97492887519998,2877,85511
도림동,37.50886346663636,126.90097607163635,4712,98567
도봉동,37.6838852625119,127.03133758722626,1170,84368
도선동,37.56304160187501,127.03390660800001,4323,48400
도원동,37.5388005684,126.9563598039,2428,74655
도화동,37.539664136238095,126.95008016804762,1162,75045
독산동,37.46572785142253,126.89878850156339,4169,31544
돈암동,37.5974243486,127.01750881758461,4991,59717
돈의동,37.57176649942857,126.99075302557142,3298,75897
동교동,37.557684600222224,126.92702018327776,1954,72051
동빙고동,37.52503352661905,126.99533575014286,1403,37152
동선동1가,37.592371988857145,127.01806489085712,4768,25574
동선동2가,37.590065425750005,127.02072069849999,1902,86516
동선동3가,37.594111565,127.02072527649999,2035,38370
동선동4가,37.59545596433333,127.01905095058332,1300,18916
동선동5가,37.59681499891668,127.01699721441668,2173,12089
동소문동1가,37.589839056166674,127.00699331266664,3299,43219
동소문동2가,37.588776556374995,127.00797325474998,4525,21627
동소문동3가,37.59063554566666,127.01202199216664,3425,25225
동소문동4가,37.59162636137501,127.010258634,1809,16615
동소문동5가,37.59141824833333,127.01564590177775,1462,28087
동소문동6가,37.59370788766668,127.01435265911111,1555,21333
동소문동7가,37.59662186700001,127.01411559614287,1249,18954
동숭동,37.58180730805882,127.00540196729413,3821,84715
동자동,37.55185408133333,126.97322846850004,1796,97073
동작동,37.499339691684206,126.97356187723685,1600,80986
둔촌동,37.52697343925581,127.1447665736977,4058,60094
등촌동,37.55033163629729,126.85589176200004,4244,21436
마곡동,37.57157968611111,126.82883360686108,3766,32676
마장동,37.566445514520005,127.04086589176002,2591,92178
마천동,37.49854969471875,127.15346780756246,3075,29691
마포동,37.53755164420001,126.9440687508,3885,92893
만리동1가,37.55621751314286,126.96736748357144,3006,47379
만리동2가,37.55431583711112,126.96398692966666,1064,64355
망우동,37.60137319060417,127.10749009099999,3293,60164
망원동,37.556217616384615,126.89956562638463,2059,66013
면목동,37.581894197191495,127.09180375755321,2866,25981
명동1가,37.564344365714284,126.98472245771428,4731,14043
명동2가,37.562828534846155,126.98574156415386,2518,50471
명륜1가,37.58918548926315,126.9975674796842,4316,57339
명륜2가,37.58467675309999,126.99930980050001,3592,18099
명륜3가,37.58804552355999,126.9934456484,4453,19606
명륜4가,37.58225540619999,126.9997536204,1953,73078
명일동,37.547923208971426,127.15088126917139,4692,72326
목동,37.53635561481249,126.87803397437499,2145,16754
묘동,37.573074515142864,126.99161563728572,1383,81455
무교동,37.567710147666666,126.97918253416668,3959,55124
무악동,37.57692541713333,126.9593011886,4272,16285
무학동,37.56458752779999,127.0152926442,4787,25375
묵동,37.61321150684375,127.08117307387501,1479,89073
묵정동,37.56124806611112,127.00050328566665,3477,35389
문래동1가,37.51156840533333,126.89612884799999,2655,29564
문래동2가,37.512508195625,126.892515003375,3769,29920
문래동3가,37.51740015225,126.89674574166666,3963,20006
문래동4가,37.513798985545456,126.88976407690907,1745,17796
문래동5가,37.5166116475,126.88332267507144,3410,23626
문래동6가,37.520666053000014,126.8829062778,2474,15489
문배동,37.53739688707692,126.96963297653848,2790,89435
문정동,37.485800270676464,127.12454730717651,4278,62320
미근동,37.563253940636365,126.96719585936366,1666,41693
미아동,37.61973802660606,127.02724134359089,4939,78282
반포동,37.50086653926665,126.99880823575552,1711,77656
방배동,37.47889606576921,126.99495058907688,2831,35487
방산동,37.56859010024999,127.00318244649999,3094,80138
방이동,37.5150935931,127.13351822409997,3885,95004
방학동,37.665897978068955,127.03018572439656,2738,90223
방화동,37.57409043281667,126.81246248026667,4531,47284
번동,37.62408181283908,127.04010725770117,4562,30920
보광동,37.52648693172727,127.00092358700003,1192,94815
보문동1가,37.58596492088888,127.01998105533335,4555,91531
보문동2가,37.58522971566666,127.0184765615,1868,60157
보문동3가,37.58367340689999,127.01665237060001,2977,49200
보문동4가,37.58249735177778,127.02159119388888,1793,73762
보문동5가,37.582291714875,127.02016125649997,2004,21814
보문동6가,37.58049884257142,127.01882469035715,4215,70533
보문동7가,37.57975053777778,127.02264652600002,3902,95961
본동,37.51093639486364,126.95340523554546,4348,82651
봉래동1가,37.559034677,126.97282278314285,2975,97174
봉래동2가,37.556777514416666,126.97120843624998,2642,95928
봉원동,37.57245116647369,126.94661716189476,2143,77919
봉익동,37.57257531571428,126.99306756214285,1992,55412
봉천동,37.4800647407596,126.95168303779813,2604,19331
부암동,37.595276737750005,126.9661702305682,2093,89469
북가좌동,37.57847660607407,126.91291245548153,3742,88573
북아현동,37.563110451793094,126.95475759441376,1068,26076
북창동,37.562574797285706,126.97849180871432,2921,94451
불광동,37.62003656398,126.93714325438003,2028,23028
사간동,37.57693659820001,126.98038625100003,1649,60934
사근동,37.559238210548386,127.04745171383873,1759,17834
사당동,37.48723000572973,126.97071467651354,4504,82498
사직동,37.575617749149984,126.96597996235,1394,12747
산림동,37.56757403142858,126.995823813,3033,63890
산천동,37.53589537733333,126.95202935622223,1076,60713
삼각동,37.568005734,126.98493892450001,4799,87569
삼선동1가,37.584506761578936,127.00787253842107,2354,88225
삼선동2가,37.584160754470595,127.01155439411765,1753,36047
삼선동3가,37.586583537500005,127.01351537780002,2623,50027
삼선동4가,37.590004929375,127.01357951562498,4795,80241
삼선동5가,37.587864094111104,127.01622262400002,3316,33273
삼성동,37.5148282668125,127.05664145106255,3992,74005
삼전동,37.49975651930769,127.09116390038459,1061,95831
삼청동,37.589983542361104,126.98122975741666,2331,16614
상계동,37.67217960412264,127.07153091542453,1516,26879
상도1동,37.504543198526314,126.95133619084213,1802,94952
상도동,37.50005447235714,126.94504542661227,1267,65760
상봉동,37.59908062989189,127.08574056889188,4191,21571
상수동,37.54735607695238,126.92474723842854,1302,58008
상암동,37.572634612035706,126.88369545803573,3991,36586
상왕십리동,37.56845339046155,127.02560362630769,2324,37092
상월곡동,37.608447094108314,127.04845889797501,1564,27720
상일동,37.54897401799999,127.17401638891175,3786,74469
서계동,37.55185839839999,126.96728884719998,1279,69845
서교동,37.55404704365516,126.92042758975863,4457,25332
서린동,37.569448919375,126.98058109012499,4870,14308
서빙고동,37.52081312923529,126.99146606088235,4480,53645
서소문동,37.563273363600004,126.97415477839999,4460,70576
서초동,37.486500882555546,127.01460465462968,4598,52357
석관동,37.60972522383132,127.05904710738557,2634,16545
석촌동,37.502799440727266,127.10276263136365,2460,89888
성내동,37.53156708505882,127.13170647323528,4228,72236
성북동,37.596117943236344,126.99507897663636,2882,48213
성북동1가,37.589383536499994,127.00404359059999,3285,92330
성산동,37.567430763733334,126.90406908446663,1956,87778
성수동1가,37.54338712564515,127.04370747432257,3794,34199
성수동2가,37.543527774999994,127.05339470724,3292,37926
세곡동,37.46428887100001,127.10636788533337,1811,84075
세종로,37.57934148494596,126.97690991897294,4520,34661
소격동,37.5793757875,126.98141698625,2066,86037
소공동,37.564266053555556,126.98005583622223,3548,58465
송월동,37.57022300571428,126.96553200657142,2725,36031
송정동,37.55435967031249,127.0628230359375,4197,53576
송파동,37.50415328115385,127.11541317638465,3799,20179
송현동,37.57640992444445,126.98227218922223,3360,58225
수색동,37.58667427494286,126.89526662911427,4451,23249
수서동,37.4843375167317,127.09582887670733,4235,70560
수송동,37.573504209636354,126.98104766972727,2319,55578
수유동,37.63891573222949,127.00483748288524,4958,96968
수표동,37.5676537632,126.98950506410002,1443,71697
수하동,37.56719154071429,126.98463270242857,1031,91164
순화동,37.562844638499996,126.97053399350003,2997,39542
숭인동,37.57703996062501,127.01783619033337,1018,29524
시흥동,37.45132277336362,126.9095430191299,4026,73936
신계동,37.534972898333336,126.96535102275004,3552,66495
신공덕동,37.544203472384616,126.95690867238461,1830,55376
신교동,37.584365392100004,126.96822406410001,4819,66006
신길동,37.50567338442104,126.91236123273684,2820,85761
신내동,37.61262659090324,127.10111103009675,2149,97191
신당동,37.558292287813565,127.01359487599998,3555,84792
신대방동,37.493645222156246,126.92023549574998,4943,35165
신도림동,37.511013214026306,126.88089222647369,1250,21193
신림동,37.46290865054165,126.93382968049995,3746,41361
신문로1가,37.57034996222223,126.97430339844443,1022,92304
신문로2가,37.57100794454999,126.9689708447,4827,35066
신사동,37.52445088009092,127.0304210947273,1204,33416
신사동,37.59558486945161,126.90610027435484,3584,76233
신설동,37.57414486809091,127.02551025581819,2933,94976
신수동,37.54867320362499,126.93755718125,1667,27058
신영동,37.60241291077778,126.96222786049998,2950,37721
신원동,37.44829646275,127.05914961013038,2372,74644
신월동,37.52646481591046,126.83171180874628,1645,44385
신정동,37.512169521494734,126.85540704489479,4845,54481
신정동,37.54362915308334,126.93053093566665,2786,90123
신창동,37.53586747844444,126.95495171055558,1981,19554
신천동,37.522624561102546,127.09009793251279,2552,33269
신촌동,37.56544666321875,126.94114665093747,4174,44618
쌍림동,37.56389799876923,127.00431075538464,1033,58240
쌍문동,37.655412929849994,127.02386644559999,4134,69780
아현동,37.554010222107145,126.95659154753568,1977,20477
안국동,37.5774728067,126.98378719029999,4206,83544
안암동1가,37.5888818182353,127.0227422066471,4136,49627
안암동2가,37.58727042892308,127.02375718207692,2363,43868
안암동3가,37.583858768384616,127.0238154349231,4541,52653
안암동4가,37.58047087537499,127.02464869050002,3429,85967
안암동5가,37.588914856676475,127.02843805911768,1017,84114
암사동,37.55723992963888,127.13448821972219,1189,83352
압구정동,37.53003144713637,127.03147143772726,4430,87380
양재동,37.46750536616901,127.03749654195771,3279,63608
양평동,37.536181478647066,126.88929277152941,1587,99453
양평동1가,37.522389989142866,126.88972203242858,3795,39443
양평동2가,37.52322415544445,126.88317380999999,2306,77936
양평동3가,37.528896065538476,126.89042428938463,1598,26616
양평동4가,37.53746164392857,126.8976974317857,3430,67007
양평동5가,37.53915489012501,126.89259829362501,3130,71445
양평동6가,37.54253469483334,126.88916417799997,2134,92756
양화동,37.54686598948388,126.88919711970973,3083,19529
여의도동,37.52962920918918,126.92810953564863,4241,19493
역삼동,37.50054954014286,127.04076145835714,2942,57983
역촌동,37.60435927834482,126.91236436927585,3247,24770
연건동,37.57837117783333,127.00010686866666,2002,42879
연남동,37.562080807111116,126.92184669583334,1960,38989
연지동,37.573856999538464,127.00041433007692,1148,84527
연희동,37.57144600444899,126.93398323314285,2834,11767
염곡동,37.46161322470116,127.05423558782756,1615,85240
염리동,37.549645097225806,126.94765907116125,2951,71450
염창동,37.5551600901923,126.87146950834614,2220,36824
영등포동,37.51357304378948,126.90656549110525,3049,92290
영등포동1가,37.517717835375,126.9132133745,4869,45700
영등포동2가,37.51999851338462,126.9131464963077,3828,53737
영등포동3가,37.51828539737501,126.90821321025,3409,32080
영등포동4가,37.5181773412,126.9037518836,4992,67345
영등포동5가,37.520581478000004,126.90666802966668,3429,69099
영등포동6가,37.52167031716666,126.902460745,3340,76388
영등포동7가,37.52452632125,126.9070102583333,1966,66920
영등포동8가,37.5283051676,126.90570618,4167,65982
영천동,37.57012843858333,126.95874066724998,3724,32654
예관동,37.564122730624995,126.99848216912501,4041,42753
예장동,37.555738735375,126.99037226154167,3018,44351
예지동,37.569741838714286,126.99886083042858,2893,67302
오곡동,37.55403883492452,126.78240947590568,1482,23419
오금동,37.50504384776192,127.13781727590475,3352,53731
오류동,37.492542038509804,126.83981275760785,3423,22788
오쇠동,37.543149420971424,126.79786251257143,2161,45527
오장동,37.56471900566666,127.0011601238889,4602,17779
옥수동,37.54307914663414,127.01676564656097,2441,36522
옥인동,37.5834822017619,126.96443727899998,4736,95164
옥천동,37.569219421,126.95949231558335,2279,17555
온수동,37.49441919432143,126.82047236467858,3401,19427
와룡동,37.58091710290322,126.99269222774191,2732,85112
외발산동,37.54813168729999,126.82182180466665,3527,48432
용강동,37.541521599,126.9412836862,3940,34891
용답동,37.561778042352934,127.05162373652944,4394,96200
용두동,37.576057455480004,127.03545608540001,2529,85652
용문동,37.537584977785706,126.96008607,1032,34793
용산동1가,37.5395476123125,126.9767995779375,4854,80366
용산동2가,37.54535634137499,126.98697337587498,4362,68962
용산동3가,37.5325400558,126.97607040253337,4766,10721
용산동4가,37.53067323678572,126.98529227828571,2355,16150
용산동5가,37.52659703863157,126.9731087717895,2800,69430
용산동6가,37.52050931964,126.98567692392002,1934,81982
우면동,37.46652745144681,127.0174371211702,1002,19286
우이동,37.66258428741236,127.0000267453299,2690,42891
운니동,37.57655532855555,126.98796494777775,1312,38921
원남동,37.5759334217,126.99770037070002,1182,85392
원서동,37.584695398095235,126.98806349814285,4136,46562
원지동,37.44346071673437,127.04808829020314,1752,83154
원효로1가,37.540364107500004,126.96784709764287,2719,44667
원효로2가,37.53673065491666,126.96345816941668,3192,55725
원효로3가,37.53454209914286,126.95826981471427,2324,11536
원효로4가,37.533224491153845,126.95209281069229,2626,19697
월계동,37.62451522320001,127.05704139607059,2027,66398
율현동,37.4708582542258,127.11131471425807,2584,20467
을지로1가,37.56599292975,126.98076870508334,2635,60333
을지로2가,37.56595580835714,126.9858749624286,1341,76307
을지로3가,37.566543451230764,126.99254462592309,3015,61974
을지로4가,37.566361041111115,126.99797938122222,4983,52472
을지로5가,37.566739801749996,127.0025308981667,3270,66414
을지로6가,37.56748719866667,127.00703990925001,2306,57445
을지로7가,37.56690459685716,127.00996742542858,4528,99198
응봉동,37.55115785195455,127.03396070686364,1517,18849
응암동,37.59313250417142,126.92588440774284,1590,12822
의주로1가,37.56342625153845,126.96850013261536,3703,30173
의주로2가,37.560378547142854,126.96962790442858,4061,93687
이문동,37.599429614891896,127.06268097478376,1181,19201
이촌동,37.51891023451515,126.96633478896972,3583,94037
이태원동,37.5391327206,126.9939416936,4097,62898
이화동,37.57728354381819,127.00565148936366,2921,55599
익선동,37.574187228857134,126.98999635314284,3662,99080
인사동,37.57201670172728,126.98588038554543,3302,28802
인의동,37.57277378144445,126.9976579868889,3433,26762
인현동1가,37.5644448946,126.99421594669998,2282,32952
인현동2가,37.56446140837499,126.99645778525002,3931,16620
일원동,37.48757364727272,127.08226708127276,1053,76778
입정동,37.56771097624999,126.99284933162501,3930,72822
자곡동,37.476681257416665,127.09917982858333,4891,72360
자양동,37.5344394845909,127.07713824911364,2798,90230
잠실동,37.51255325055171,127.08398399841381,4304,40152
잠원동,37.51865101666667,127.00888213555557,4486,29150
장교동,37.56755985837501,126.98744000250001,3266,63262
장사동,37.568995525714286,126.99482148242859,1322,99048
장안동,37.57117407530769,127.06909890753846,1642,42684
장위동,37.6130493437065,127.0503865232717,1030,67970
장지동,37.47870445550001,127.13363193407407,4002,87295
장충동1가,37.56160328415385,127.00773091530772,1655,98739
장충동2가,37.55547526560464,127.00015627695349,1117,20560
재동,37.578300192600004,126.98527161080001,2463,36051
저동1가,37.5641874337,126.98797598700003,2520,76281
저동2가,37.56430025144445,126.98995715466668,2718,16729
적선동,37.5753677167143,126.97417864614286,1838,95394
전농동,37.580044900723394,127.05711599091487,1274,82818
정동,37.566189234499994,126.97331389915003,2753,53834
정릉동,37.61403668588542,126.99951907218748,4806,17262
제기동,37.58474900843999,127.03741958307997,4791,28024
종로1가,37.57061923233333,126.98024956733333,2920,56821
종로2가,37.570489792500005,126.98689793866664,3820,30789
종로3가,37.5705701866,126.99263132240003,4906,42077
종로4가,37.57074224071429,126.99810343585716,2216,18969
종로5가,37.5708504135,127.00243910479999,1439,54445
종로6가,37.571819254416674,127.00822815133331,1829,24540
종암동,37.595946898499996,127.03334241299999,3661,41916
주교동,37.568166634400015,126.9991648699,1875,14349
주성동,37.522620288,126.99946598683334,3519,89063
주자동,37.56074285079999,126.98958849319999,3981,12328
중계동,37.64959557912309,127.08050038869231,4034,91444
중곡동,37.564342328171435,127.09261711854285,2565,93596
중동,37.57129179772727,126.90582499900005,1580,43917
중림동,37.55920902725,126.96617136374998,3943,44814
중학동,37.575447191500004,126.97968488350001,2669,97278
중화동,37.601002777374994,127.07946614100001,3971,37398
증산동,37.58488431304544,126.90532761718183,4720,27887
진관동,37.63846582814443,126.93609543623336,2558,12621
창동,37.64361775665216,127.04644515302179,3288,56407
창성동,37.58029159240001,126.97269187039998,3221,55947
창신동,37.5754872828077,127.01310021065389,1994,52150
창전동,37.55062148369565,126.92966960360869,2069,12141
창천동,37.55963364349999,126.93461769125001,1459,42190
천연동,37.568094753999986,126.95985780659998,4321,71880
천왕동,37.48152538034285,126.83972730140002,1218,10751
천호동,37.5453941428,127.12867650508001,1041,91800
청담동,37.526454916687506,127.051692772875,4484,73726
청량리동,37.59036541163637,127.04539368839394,2633,55718
청암동,37.53471086655556,126.94704041388893,4001,87394
청운동,37.58918828814286,126.96920961078571,4698,44635
청진동,37.571703801999995,126.98054948416667,2750,60989
청파동1가,37.54867862692858,126.96741998321428,2725,27151
청파동2가,37.54613055731579,126.96652816221051,4789,43641
청파동3가,37.54320673255555,126.96696957427781,1949,10163
체부동,37.577693934714276,126.97085492785712,2879,21006
초동,37.56445493388888,126.99253224099999,4144,20546
충무로1가,37.561201786615385,126.982822167,3228,24589
충무로2가,37.561682290153854,126.98818345176923,4621,80429
충무로3가,37.56248216088889,126.99216567,4855,79872
충무로4가,37.56237724172727,126.99586999454546,3281,35658
충무로5가,37.56249130190909,126.99932095036365,2134,68279
충신동,37.575030877166675,127.00620269725,1060,36047
충정로1가,37.566868093124995,126.96851746037501,1947,40433
충정로2가,37.56524302913333,126.96482770086665,1023,59359
충정로3가,37.5622415202,126.96207937513333,3528,24167
태평로1가,37.56788141836363,126.97739573199996,3714,94268
태평로2가,37.56372034333332,126.97683059775,1178,28658
토정동,37.5390652712,126.94013701489999,4267,90026
통의동,37.577742694333345,126.9729379445,4940,65107
통인동,37.580230253857145,126.97025422685714,2345,11581
팔판동,37.582624864749995,126.9808858,4077,70232
평동,37.56786713344444,126.966822656,2186,49396
평창동,37.61354423346551,126.97449689620693,4980,83564
풍납동,37.53448318712499,127.11371268656251,1854,14350
필동1가,37.56116971266667,126.99277214466669,3194,43172
필동2가,37.55916000033333,126.99519749057143,1561,55679
필동3가,37.559085192875,126.99709278337502,2621,21665
필운동,37.57729795192307,126.96850519984618,2977,11993
하계동,37.63853898394445,127.07330543658333,1006,88608
하왕십리동,37.56417948947059,127.02840821726471,1510,56717
하월곡동,37.60526857507547,127.04032632452831,3402,78435
하중동,37.544345510222215,126.9282321033333,1236,50563
한강로1가,37.53578399300001,126.97318262144444,2620,54884
한강로2가,37.531152638291665,126.96902747691668,2001,57309
한강로3가,37.52762216915624,126.96392624028127,2506,43360
한남동,37.53949664097871,127.00464401746808,2352,54065
합동,37.561587913625004,126.96678894175,4069,84855
합정동,37.547550421333334,126.91222254090475,2347,54521
항동,37.48056002259524,126.8241737070952,3713,74820
행당동,37.55845004390698,127.03620670399998,3572,78183
행촌동,37.57375087730769,126.96315548538465,3977,58390
현석동,37.54283907572728,126.93410460736364,1344,27773
현저동,37.57347528129413,126.95419461711765,3439,42124
혜화동,37.587834162625,127.00214675641668,3550,72953
홍은동,37.59546118431507,126.94128123743837,3270,62268
홍익동,37.567107858823526,127.03220905417648,3023,91235
홍제동,37.58788450688235,126.94949007431373,2971,73499
홍지동,37.60069159331818,126.95684599754544,1345,57671
홍파동,37.571337799374994,126.964435757625,3222,91680
화곡동,37.5444587647111,126.84682776275554,4904,95913
화동,37.58076885899999,126.98288785209999,1666,90683
화양동,37.542383758206896,127.07485162403447,4145,41475
황학동,37.56941295675,127.02107876299999,4654,89224
회기동,37.59358868429032,127.05166790345163,1307,50664
회현동1가,37.557117013695645,126.98153719326088,2316,12108
회현동2가,37.558816846888895,126.98301960788889,1429,67024
회현동3가,37.560261784,126.98426771779998,1048,19344
효자동,37.582785876833334,126.97201771416665,3311,68189
효제동,37.57359908350001,127.00277748219999,1506,73203
효창동,37.54275539154167,126.96121244541666,4964,34227
후암동,37.550966115629635,126.98010904529627,1097,56796
훈정동,37.57419312170588,126.99427151758825,4861,89272
휘경동,37.58768979334209,127.06355344718419,3527,22818
흑석동,37.504607687787875,126.96225041469695,4170,40512
흥인동,37.5674593184,127.01624022770002,1392,98417
